calc_R11,calc_R12,calc_R13,calc_01,calc_R21,calc_R22,calc_R23,calc_02,calc_R31,calc_R32,calc_R33,calc_03,calc_TX,calc_TY,calc_TZ,calc_1
0.440332385,-0.194227703,0.876574577,0,0.891743282,0.208146818,-0.401831832,0,-0.104409335,0.95861906,0.264855034,0,-8.756002909,-5.202156256,-0.186847345,1
0.419203842,-0.192950143,0.887151836,0,0.900712903,0.21102932,-0.379714225,0,-0.113949134,0.958246768,0.262256985,0,-8.615676772,-5.222343814,-0.319109886,1
0.39791719,-0.191568326,0.897197574,0,0.909101224,0.213745968,-0.357557863,0,-0.123275603,0.957921833,0.259208194,0,-8.474304149,-5.242836571,-0.444916994,1
0.376547892,-0.190062392,0.906690671,0,0.91689057,0.21631447,-0.335439611,0,-0.132375857,0.957645204,0.255719172,0,-8.332296268,-5.263805539,-0.563972024,1
0.355150146,-0.188425819,0.915622239,0,0.924078295,0.218749043,-0.313413722,0,-0.141236251,0.957415566,0.251808964,0,-8.190025844,-5.285323605,-0.676199,1
0.333738487,-0.186668643,0.923998615,0,0.930679395,0.221061628,-0.291492059,0,-0.149848211,0.95722859,0.247505433,0,-8.047695608,-5.307348561,-0.781832867,1
0.312350191,-0.184793013,0.931820208,0,0.936702068,0.22326051,-0.269710921,0,-0.158197961,0.957082174,0.24283146,0,-7.905638119,-5.329882026,-0.880943587,1
0.297217194,-0.170147448,0.939527427,0,0.938882958,0.231057454,-0.255169051,0,-0.173668452,0.957946919,0.228422787,0,-7.736556508,-5.435100907,-0.907058453,1
0.281795442,-0.155815048,0.946738084,0,0.940772756,0.23873988,-0.240727835,0,-0.188515118,0.958501403,0.213862363,0,-7.570449646,-5.535609097,-0.92889453,1
0.265948452,-0.141693401,0.953516859,0,0.942427002,0.246244391,-0.226263222,0,-0.202738173,0.958794389,0.199024002,0,-7.406869998,-5.632085617,-0.946107055,1
0.249673952,-0.127701265,0.959872546,0,0.943823753,0.253691407,-0.211748418,0,-0.216470876,0.958818573,0.183867624,0,-7.244538985,-5.725308399,-0.95848434,1
0.23317839,-0.113675741,0.965766879,0,0.944879178,0.261231203,-0.197386925,0,-0.229850339,0.95855938,0.168323312,0,-7.082915179,-5.816497343,-0.964456241,1
0.216544053,-0.099707597,0.971167889,0,0.945593363,0.268842376,-0.183240194,0,-0.242820644,0.958009484,0.15249906,0,-6.922886447,-5.905073066,-0.964592924,1
0.199828612,-0.085876326,0.976060337,0,0.945984711,0.276468022,-0.169346861,0,-0.255306585,0.957178504,0.136483913,0,-6.765472932,-5.990536162,-0.959475364,1
0.182979889,-0.072307084,0.980454,0,0.946121609,0.28395936,-0.155630915,0,-0.267155873,0.956106044,0.120370147,0,-6.61203503,-6.072092356,-0.950258556,1
0.165911371,-0.059058627,0.984370609,0,0.946068651,0.291194661,-0.141985131,0,-0.278258019,0.954839121,0.104186021,0,-6.463380231,-6.149428165,-0.937699571,1
0.148609994,-0.046084131,0.987821503,0,0.94583724,0.29817727,-0.12838314,0,-0.288629494,0.953397382,0.087900209,0,-6.319340915,-6.222959397,-0.921671697,1
0.131105077,-0.0332702,0.990810049,0,0.945398018,0.305009985,-0.114854242,0,-0.298385735,0.95176783,0.071441939,0,-6.178920346,-6.293505192,-0.901452223,1
0.113463727,-0.020548651,0.993329621,0,0.944726115,0.3117658,-0.101462573,0,-0.307601285,0.949936755,0.054786957,0,-6.041676565,-6.361547046,-0.876545478,1
0.095830067,-0.008005946,0.995365512,0,0.943839137,0.318385458,-0.088308455,0,-0.316202911,0.947927532,0.038067224,0,-5.909021364,-6.426652737,-0.847680905,1
0.078155623,0.004299417,0.9969319,0,0.942774211,0.324815468,-0.075310683,0,-0.324142694,0.945767639,0.021332776,0,-5.781289386,-6.488582428,-0.815679239,1
0.060513425,0.016402397,0.998032608,0,0.941515811,0.331116548,-0.062528469,0,-0.331490728,0.943447292,0.00459388,0,-5.658149513,-6.547639313,-0.78042619,1
0.042933535,0.028337317,0.998675978,0,0.940057454,0.337332856,-0.049985279,0,-0.338302668,0.940958841,-0.012155814,0,-5.539207083,-6.604083303,-0.741800851,1
0.025464826,0.040076206,0.998872084,0,0.938411899,0.343455327,-0.037703408,0,-0.344578947,0.93831356,-0.028861958,0,-5.42471896,-6.657845179,-0.700232843,1
