astr_R11,astr_R12,astr_R13,astr_01,astr_R21,astr_R22,astr_R23,astr_02,astr_R31,astr_R32,astr_R33,astr_03,astr_TX,astr_TY,astr_TZ,astr_1
-0.026272291,0.072937641,0.996990405,0,0.889613551,0.456605408,-0.009961516,0,-0.45595778,0.886674462,-0.076882384,0,-4.248038687,-6.788207961,-0.759402254,1
-0.041965646,0.083864049,0.995593143,0,0.888442579,0.458986176,-0.001213721,0,-0.457065277,0.884476405,-0.093770043,0,-4.176423995,-6.821277381,-0.691375542,1
-0.057767096,0.094711838,0.993827264,0,0.887150698,0.46141736,0.007593305,0,-0.457849977,0.882113194,-0.110678414,0,-4.106381912,-6.852882021,-0.621671839,1
-0.073636251,0.105530238,0.991685974,0,0.885774041,0.463826405,0.016413833,0,-0.458237985,0.879618346,-0.127630383,0,-4.038829559,-6.88323749,-0.549897753,1
-0.089474851,0.116326783,0.989172548,0,0.884371574,0.466103875,0.0251813,0,-0.458127898,0.877049176,-0.144580675,0,-3.9752694,-6.91240738,-0.476168732,1
-0.10522125,0.127048755,0.986299702,0,0.88292399,0.468292668,0.0338704,0,-0.457573727,0.874391555,-0.161448733,0,-3.915469074,-6.940214068,-0.401096517,1
-0.120842819,0.137595785,0.983089219,0,0.881383314,0.470487006,0.042490361,0,-0.456684209,0.871613089,-0.178129605,0,-3.858510231,-6.96631193,-0.325663165,1
-0.136462043,0.147977256,0.97953093,0,0.879712683,0.472747795,0.05113822,0,-0.455503794,0.868684208,-0.194689599,0,-3.803318329,-6.990751761,-0.249675713,1
-0.152176505,0.158212764,0.975608032,0,0.87789045,0.475101881,0.059887902,0,-0.454038181,0.865590506,-0.211192819,0,-3.749306117,-7.013618795,-0.172839115,1
-0.16791065,0.168210143,0.97134513,0,0.875905688,0.477564594,0.068711606,0,-0.452322053,0.862344134,-0.227524403,0,-3.696499738,-7.0346435,-0.096077344,1
-0.18361712,0.17790618,0.966764782,0,0.873752167,0.480141898,0.077594516,0,-0.450379734,0.858960505,-0.243608182,0,-3.64490296,-7.053670085,-0.020036877,1
-0.19932379,0.187276321,0.961871928,0,0.871396517,0.482882858,0.086557813,0,-0.448261237,0.85542488,-0.259441975,0,-3.59385254,-7.070657831,0.055160683,1
-0.215029615,0.196278994,0.956680104,0,0.868814938,0.485818883,0.095606566,0,-0.446007699,0.851736209,-0.274995569,0,-3.542925696,-7.085528808,0.129193304,1
-0.230745657,0.204886674,0.951198135,0,0.865983291,0.48897924,0.104748474,0,-0.443654575,0.847891947,-0.290258272,0,-3.491687754,-7.098248624,0.201907887,1
-0.246461348,0.21309169,0.945435738,0,0.862887477,0.492379121,0.113964924,0,-0.441227839,0.843892608,-0.305226573,0,-3.439921268,-7.108841579,0.273313377,1
